ID lección,Bloque,#,Tipo / Punti,Texto ES,Texto EN,Texto 2 ES,Texto 2 EN,Opción 1 ES,Opción 1 EN,Opción 2 ES,Opción 2 EN,Opción 3 ES,Opción 3 EN,Opción 4 ES,Opción 4 EN,Opción 5 ES,Opción 5 EN,Opción 6 ES,Opción 6 EN,Correcta,Pista ES,Pista EN,Tiempo (s),Estado,Notas
ia-para-analizar-datos,EJERCICIO,1,opcion-multiple,"Para que la IA te dé la fórmula correcta, ¿qué es lo más importante contarle?","To get the right formula from the AI, what's most important to tell it?",,,Qué hay en cada columna y qué quieres calcular,What's in each column and what you want to calculate,Tu color favorito,Your favorite color,Cuánto pagaste por el computador,How much your computer cost,La hora en que abriste la hoja,What time you opened the sheet,,,,,1,Describe tu hoja con palabras.,Describe your sheet in words.,,Borrador,
ia-para-analizar-datos,EJERCICIO,2,verdadero-falso,Los números que calcula una IA siempre son exactos.,The numbers an AI calculates are always exact.,,,,,,,,,,,,,,,falso,Recuerda la última pantalla.,Remember the last screen.,,Borrador,
ia-para-analizar-datos,EJERCICIO,3,completar-frase,"Para sumar solo las ventas de una ciudad, en Google Sheets en español se usa","To add up only one city's sales, in Google Sheets you use",.,.,SUMAR.SI,SUMIF,PROMEDIO,AVERAGE,HOY,TODAY,,,,,,,1,"Suma, pero solo si se cumple una condición.","It adds, but only if a condition is met.",,Borrador,
ia-para-analizar-datos,EJERCICIO,4,ordenar-pasos,Ordena cómo analizar una hoja con IA de forma segura:,Put in order how to analyze a sheet with AI safely:,,,Quita los datos personales,Remove personal data,Sube o pega la tabla,Upload or paste the table,Haz tu pregunta,Ask your question,Verifica un resultado,Check one result,,,,,,"La limpieza va antes de subir, y la verificación al final.","Cleanup comes before uploading, and checking comes last.",,Borrador,
ia-para-analizar-datos,EJERCICIO,5,escribir-prompt,Escribe un prompt describiendo las columnas de una hoja tuya y pidiendo una fórmula que necesites.,Write a prompt describing the columns of one of your sheets and asking for a formula you need.,,,,,,,,,,,,,,,,Di si usas Excel o Google Sheets y en qué idioma.,"Say whether you use Excel or Google Sheets, and in which language.",,Borrador,
ia-para-analizar-datos,TAREA,,,"Toma una hoja de cálculo que uses, sin datos personales, y pídele a una IA una fórmula o un gráfico. Comprueba el resultado con una cuenta a mano.","Take a spreadsheet you use, with no personal data, and ask an AI for a formula or a chart. Check the result with a quick calculation by hand.",,,,,,,,,,,,,,,,,,,Borrador,
ia-para-reuniones,LECCION,,,IA para reuniones y productividad,AI for meetings and productivity,"Resúmenes, tareas, seguimiento.","Summaries, tasks, follow-ups.",,,,,,,,,,,,,,,,180,Borrador,"Mundo Forja. Escrita por Claude, datos a septiembre de 2026."
ia-para-reuniones,PLAN,,,"Aprovechar la IA antes, durante y después de una reunión.",,Transcribir y resumir · Sacar la lista de tareas con responsables · Redactar el correo de seguimiento · Avisar y pedir permiso antes de grabar,,,,,,,,,,,,,,,,,,,Flujo: reunión → transcripción → resumen → tareas → correo.
ia-para-reuniones,PANTALLA,1,boot,Reunión de una hora y al final nadie recuerda quién quedó de hacer qué. ¿Te suena? La IA puede ser esa asistente que nunca se distrae.,"A one-hour meeting, and at the end nobody remembers who agreed to do what. Sound familiar? AI can be the assistant who never gets distracted.",,,,,,,,,,,,,,,,,,,Borrador,
ia-para-reuniones,PANTALLA,2,loading,Así fluye una reunión con ayuda de la IA:,Here's how a meeting flows with AI's help:,,,,,,,,,,,,,,,,,,,Borrador,
ia-para-reuniones,GRAFICO_FLUJO,2,,,,,,Reunión,Meeting,Transcripción: el audio pasa a texto,Transcript: audio becomes text,Resumen con tareas y responsables,Summary with tasks and owners,Correo de seguimiento,Follow-up email,,,,,,,,,Borrador,
ia-para-reuniones,PANTALLA,3,leyendo,"Antes, pídele una agenda corta y las preguntas clave que debes llevar. Durante, muchas plataformas de videollamada ya traen notas automáticas con IA, o puedes grabar el audio con permiso.","Before, ask it for a short agenda and the key questions to bring. During, many video call platforms now include automatic AI notes, or you can record the audio with permission.",,,,,,,,,,,,,,,,,,,Borrador,
ia-para-reuniones,PANTALLA,4,info,"Después viene la magia. Pega la transcripción y pide: 'saca las decisiones, las tareas con responsable y fecha, y las dudas pendientes, en una tabla'. En un minuto tienes el acta.","Afterwards comes the magic. Paste the transcript and ask: 'list the decisions, the tasks with owner and due date, and open questions, in a table'. In a minute you have the minutes.",,,,,,,,,,,,,,,,,,,Borrador,
ia-para-reuniones,PANTALLA,5,error,"Dos cuidados. Avisa y pide permiso antes de grabar o transcribir, porque en muchos lugares la ley lo exige. Y revisa el resultado: las transcripciones confunden nombres y cifras. ¡A practicar!","Two precautions. Tell people and ask permission before recording or transcribing, since the law requires it in many places. And check the result: transcripts mix up names and numbers. Let's practice!",,,,,,,,,,,,,,,,,,,Borrador,
ia-para-reuniones,EJERCICIO,1,opcion-multiple,Terminó la reunión y tienes la transcripción. ¿Qué es lo más útil pedirle a la IA?,The meeting is over and you have the transcript. What's the most useful thing to ask the AI?,,,Que la traduzca al japonés,Translate it into Japanese,"Que saque decisiones, tareas con responsable y fecha","List decisions, and tasks with owners and dates",Que cuente cuántas palabras tiene,Count how many words it has,Que invente un chiste sobre la reunión,Make up a joke about the meeting,,,,,2,Piensa en quién quedó de hacer qué.,Think about who agreed to do what.,,Borrador,
ia-para-reuniones,EJERCICIO,2,verdadero-falso,"Antes de grabar una reunión, lo correcto es avisar y pedir permiso.","Before recording a meeting, the right thing is to tell people and ask permission.",,,,,,,,,,,,,,,verdadero,"En muchos lugares, además, lo exige la ley.","In many places, the law also requires it.",,Borrador,
ia-para-reuniones,EJERCICIO,3,completar-frase,Convertir el audio de una reunión en texto se llama,Turning a meeting's audio into text is called,.,.,transcripción,transcription,traducción,translation,compresión,compression,,,,,,,1,Es el segundo paso del flujo.,It's the second step of the flow.,,Borrador,
ia-para-reuniones,EJERCICIO,4,ordenar-pasos,Ordena el flujo de una reunión con IA:,Put the AI meeting flow in order:,,,Reunión,Meeting,Transcripción,Transcript,Resumen con tareas y responsables,Summary with tasks and owners,Correo de seguimiento,Follow-up email,,,,,,El correo cierra todo el proceso.,The email wraps up the whole process.,,Borrador,
ia-para-reuniones,EJERCICIO,5,escribir-prompt,Escribe el prompt que usarías después de una reunión para obtener el acta con tareas y responsables.,Write the prompt you'd use after a meeting to get minutes with tasks and owners.,,,,,,,,,,,,,,,,Pide un formato de tabla con columnas claras.,Ask for a table with clear columns.,,Borrador,
ia-para-reuniones,TAREA,,,"En tu próxima reunión o clase, toma notas (o usa la transcripción, con permiso) y pídele a la IA el resumen con tareas. Compártelo y mira si alguien lo corrige.","At your next meeting or class, take notes (or use the transcript, with permission) and ask the AI for a summary with tasks. Share it and see whether anyone corrects it.",,,,,,,,,,,,,,,,,,,Borrador,
